detector_jitter_ps,frequency_detuning_ghz,gate_label,channel,full_erasure_probability,zz_flip_probability,xx_flip_probability,erasure_mutual_information_bits,total_variation_from_independent,independent_synthetic_partial_erasure_probability
0.0,0.6,40_ps,idea2_j0_d0.6_40_ps,0.6411492123846867,0.0006586463651741844,0,0.9417251199790354,0.4601537996863652,0.4601537996863652
0.0,0.6,140_ps,idea2_j0_d0.6_140_ps,0.107900599314583,0.014110108634984379,0,0.49355087397596686,0.19251611996427362,0.19251611996427362
0.0,0.6,180_ps,idea2_j0_d0.6_180_ps,0.04349599055888727,0.01962023398369259,0,0.2580977275503734,0.08320817872837695,0.08320817872837691
0.0,0.6,220_ps,idea2_j0_d0.6_220_ps,0.01940944403246681,0.02278147775952328,0,0.13811178108553282,0.03806543502963472,0.0380654350296347
0.0,0.6,250_ps,idea2_j0_d0.6_250_ps,0.013160467036454623,0.023908532344739233,0,0.10108298563247044,0.025974538287673935,0.02597453828767403
0.0,0.6,320_ps,idea2_j0_d0.6_320_ps,0.010135682640625325,0.024632307704776396,0,0.08169128907406027,0.020065901156067788,0.020065901156067704
0.0,0.6,450_ps,idea2_j0_d0.6_450_ps,0.009975112624103126,0.02468976608658354,0,0.08062810343841398,0.019751219504479167,0.01975121950447917
0.0,0.6,no_filter,idea2_j0_d0.6_no_filter,0.009974999999999956,0.024689832588614413,0,0.08062735640317902,0.019750998750000047,0.01975099874999991
0.0,0.9,40_ps,idea2_j0_d0.9_40_ps,0.6411492123846867,0.0014798785232535872,0,0.9417251199790354,0.4601537996863653,0.4601537996863653
0.0,0.9,140_ps,idea2_j0_d0.9_140_ps,0.107900599314583,0.03128776297968002,0,0.49355087397596686,0.19251611996427365,0.19251611996427365
0.0,0.9,180_ps,idea2_j0_d0.9_180_ps,0.04349599055888727,0.043225121793681584,0,0.2580977275503734,0.08320817872837699,0.08320817872837691
0.0,0.9,220_ps,idea2_j0_d0.9_220_ps,0.01940944403246681,0.04993111085764713,0,0.13811178108553282,0.038065435029634706,0.03806543502963469
0.0,0.9,250_ps,idea2_j0_d0.9_250_ps,0.013160467036454623,0.05226658800911421,0,0.10108298563247012,0.025974538287673984,0.02597453828767403
0.0,0.9,320_ps,idea2_j0_d0.9_320_ps,0.010135682640625325,0.05371976290069468,0,0.08169128907406026,0.02006590115606772,0.020065901156067704
0.0,0.9,450_ps,idea2_j0_d0.9_450_ps,0.009975112624103126,0.05382754458239406,0,0.08062810343841398,0.019751219504479146,0.01975121950447917
0.0,0.9,no_filter,idea2_j0_d0.9_no_filter,0.009974999999999956,0.053827649814857326,0,0.08062735640317902,0.01975099875000004,0.01975099874999991
0.0,1.2,40_ps,idea2_j0_d1.2_40_ps,0.6411492123846867,0.0026257370394159427,0,0.9417251199790354,0.4601537996863652,0.4601537996863652
