profile,detector_jitter_ps,frequency_detuning_ghz,gate_label,full_erasure_probability,distance,full_rate,full_ci_low,full_ci_high,independent_rate,independent_ci_low,independent_ci_high,full_minus_independent,relative_change_full_vs_independent,significant_full_lower,significant_full_higher,full_failure_phi,independent_failure_phi,full_component_a_rate,independent_component_a_rate,full_component_b_rate,independent_component_b_rate
low_error_open,15.0,0.6,no_filter,0.009974999999999956,3,0.17895,0.17369949137051346,0.18432381498111125,0.1864,0.181063291664543,0.19185715334984582,-0.007450000000000012,-0.03996781115879833,False,False,-0.011372279546437018,-0.004638682191565689,0.092,0.09865,0.0947,0.0969
low_error_open,15.0,0.6,no_filter,0.009974999999999956,5,0.2126,0.20698508358144235,0.21832529874360657,0.2215,0.21579873393572754,0.2273082301475227,-0.008899999999999991,-0.04018058690744919,False,False,0.0005503786722751442,-0.005069291879843055,0.1135,0.11605,0.11185,0.1187
low_error_open,15.0,0.6,no_filter,0.009974999999999956,7,0.25865,0.2526279794251534,0.2647647163791283,0.2586,0.25257837088626484,0.2647143441216225,4.999999999999449e-05,0.00019334880123733633,False,False,-0.0008371174241772466,0.006774906439687221,0.1388,0.1409,0.13905,0.13795
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,3,0.20985,0.20426256634099807,0.21554887218235944,0.2155,0.20985651592484714,0.22125275259107638,-0.005649999999999988,-0.026218097447795796,False,False,0.010821853653149992,-0.005783933352691507,0.1125,0.11315,0.1109,0.11475
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,5,0.2672,0.26111254020344365,0.2733768717842786,0.2667,0.26061628572548895,0.2728733182982895,0.0005000000000000004,0.0018747656542932312,False,False,0.0058193288513947615,0.005271929659565947,0.1408,0.1434,0.14795,0.1447
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,7,0.3409,0.33436176497322884,0.34749934089982365,0.3284,0.32192485852746733,0.3349410482469879,0.012499999999999956,0.03806333739342249,False,False,-0.003448595414354313,0.0056599329608895185,0.1893,0.18115,0.18635,0.18085
reference_open,15.0,1.2,no_filter,0.009974999999999956,3,0.6979,0.6914988616568951,0.7042251304720986,0.70165,0.6952707866169043,0.7079517652416687,-0.003750000000000031,-0.005344545001068957,False,False,-0.005063522783887873,-0.0031351346749637337,0.44975,0.45335,0.4487,0.4528
reference_open,15.0,1.2,no_filter,0.009974999999999956,5,0.75265,0.7466220742468654,0.758580889933985,0.74515,0.7390638705237071,0.7511419741979848,0.007500000000000062,0.01006508756626201,False,False,-0.0015357710922948486,0.0042450697171082215,0.50685,0.4969,0.49765,0.49555
reference_open,15.0,1.2,no_filter,0.009974999999999956,7,0.7504,0.7443543617683184,0.7563494665747843,0.7501,0.7440520164903565,0.7560519270743801,0.00029999999999996696,0.000399946673776741,False,False,-0.0047013164781391,0.005692080478495165,0.49975,0.50095,0.4987,0.5021
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,3,0.7019,0.6955222663015737,0.7082001895389711,0.6993,0.6929069878341413,0.7056164665938954,0.0025999999999999357,0.0037180037180035708,False,False,0.005213787597877927,-0.001129224665541802,0.45535,0.44825,0.45505,0.4545
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,5,0.7499,0.7438504551057727,0.7558535652733862,0.7465,0.7404241714304092,0.7524811547939314,0.0033999999999999586,0.00455458807769582,False,False,0.006447670717042762,-0.0034183862135336255,0.50525,0.49185,0.49775,0.49945
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,7,0.74755,0.7414822362373834,0.7535226867112392,0.748,0.7419357068300225,0.7539690432861497,-0.00044999999999995044,-0.0006016042780747632,False,False,0.0047945938498809735,0.013900241935816364,0.4992,0.50295,0.4983,0.5
reference_strong,15.0,1.2,140_ps,0.11833689361410207,3,0.72265,0.716403128856398,0.7288113574878187,0.72935,0.7231488805905293,0.7354630324705356,-0.006700000000000039,-0.009186261739905444,False,False,0.0068270234125313994,-0.016265730947436607,0.4769,0.4761,0.47305,0.47565
reference_strong,15.0,1.2,140_ps,0.11833689361410207,5,0.74965,0.7435985057734588,0.7556056106237282,0.74915,0.7430946150934532,0.7551096933397898,0.000500000000000056,0.0006674230794900815,False,False,-0.0008647527958335952,-0.0019070333969096517,0.4964,0.4987,0.50245,0.49865
reference_strong,15.0,1.2,140_ps,0.11833689361410207,7,0.75165,0.7456141752041249,0.7575891730488377,0.75075,0.744707102786437,0.7566965911314266,0.0009000000000000119,0.0011988011988011138,False,False,-0.00030962316589875353,-0.0026725337218461193,0.5013,0.49745,0.50185,0.5027
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,3,0.74445,0.7383585593669426,0.7504475542052278,0.74765,0.741583006740356,0.7536218778010554,-0.0032000000000000917,-0.004280077576406249,False,False,0.002910675700575901,0.011898762191202719,0.496,0.50035,0.4944,0.5009
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,5,0.751,0.7449590638651056,0.7569445340347298,0.7491,0.7430442266103697,0.7550601010264789,0.0019000000000000128,0.0025363769857162932,False,False,-0.0077034463843039,0.010927586222103899,0.49905,0.505,0.4991,0.49865
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,7,0.74885,0.7427922857884899,0.7548121378663868,0.7466,0.7405249375058288,0.7525803503113005,0.0022499999999999742,0.0030136619341012416,False,False,0.004324586060477938,0.003912110527629017,0.5024,0.50055,0.49745,0.4946
