profile,detector_jitter_ps,frequency_detuning_ghz,gate_label,full_erasure_probability,model,distance,shots,failures_any,failures_a,failures_b,failures_both,logical_error_rate_any,logical_error_rate_a,logical_error_rate_b,logical_error_rate_both,any_ci_low,any_ci_high,failure_phi,seed,channel_name,decoder_channel_name,model_label
low_error_open,15.0,0.6,no_filter,0.009974999999999956,full_correlated,3,20000,3579,1840,1894,155,0.17895,0.092,0.0947,0.00775,0.17369949137051346,0.18432381498111125,-0.011372279546437018,20270031,idea2_j15_d0.6_no_filter,idea2_j15_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_open,15.0,0.6,no_filter,0.009974999999999956,matched_independent,3,20000,3728,1973,1938,183,0.1864,0.09865,0.0969,0.00915,0.181063291664543,0.19185715334984582,-0.004638682191565689,20270032,idea2_j15_d0.6_no_filter__independent,idea2_j15_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_open,15.0,0.6,no_filter,0.009974999999999956,full_correlated,5,20000,4252,2270,2237,255,0.2126,0.1135,0.11185,0.01275,0.20698508358144235,0.21832529874360657,0.0005503786722751442,20270051,idea2_j15_d0.6_no_filter,idea2_j15_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_open,15.0,0.6,no_filter,0.009974999999999956,matched_independent,5,20000,4430,2321,2374,265,0.2215,0.11605,0.1187,0.01325,0.21579873393572754,0.2273082301475227,-0.005069291879843055,20270052,idea2_j15_d0.6_no_filter__independent,idea2_j15_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_open,15.0,0.6,no_filter,0.009974999999999956,full_correlated,7,20000,5173,2776,2781,384,0.25865,0.1388,0.13905,0.0192,0.2526279794251534,0.2647647163791283,-0.0008371174241772466,20270071,idea2_j15_d0.6_no_filter,idea2_j15_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_open,15.0,0.6,no_filter,0.009974999999999956,matched_independent,7,20000,5172,2818,2759,405,0.2586,0.1409,0.13795,0.02025,0.25257837088626484,0.2647143441216225,0.006774906439687221,20270072,idea2_j15_d0.6_no_filter__independent,idea2_j15_d0.6_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,full_correlated,3,20000,4197,2250,2218,271,0.20985,0.1125,0.1109,0.01355,0.20426256634099807,0.21554887218235944,0.010821853653149992,20271031,idea2_j15_d0.6_220_ps,idea2_j15_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,matched_independent,3,20000,4310,2263,2295,248,0.2155,0.11315,0.11475,0.0124,0.20985651592484714,0.22125275259107638,-0.005783933352691507,20271032,idea2_j15_d0.6_220_ps__independent,idea2_j15_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,full_correlated,5,20000,5344,2816,2959,431,0.2672,0.1408,0.14795,0.02155,0.26111254020344365,0.2733768717842786,0.0058193288513947615,20271051,idea2_j15_d0.6_220_ps,idea2_j15_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,matched_independent,5,20000,5334,2868,2894,428,0.2667,0.1434,0.1447,0.0214,0.26061628572548895,0.2728733182982895,0.005271929659565947,20271052,idea2_j15_d0.6_220_ps__independent,idea2_j15_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
