pair_probability,signal_efficiency,idler_efficiency,fusion_detector_efficiency,full_success_probability,partial_failure_probability,count_rejection_probability,full_success_hidden_error_probability,hidden_error_given_full_success,partial_retained_parity_error_probability,xx_flip_marginal,zz_flip_marginal,max_full_bell_coherence
0.01,0.9,0.85,0.85,0.2916822288243241,0.2920932834090879,0.41622448776658794,0.0002361009840786134,0.0008094458994991208,0.00020552729238191406,0.0002361009840786134,0.00020552729238191406,1.6619674650818087e-18
0.01,0.9,0.85,0.95,0.3639571236274131,0.36427366305023945,0.2717692133223475,9.825092257116645e-05,0.00026995191519248017,0.00015826971141299324,9.825092257116645e-05,0.00015826971141299324,2.4666763260152845e-18
0.01,0.9,0.85,0.99,0.39508065912464163,0.39533897852115124,0.20958036235420718,2.1334876003032638e-05,5.4001317225457566e-05,0.00012915969825464906,2.1334876003032638e-05,0.00012915969825464906,3.8266054069922174e-18
0.01,0.9,0.95,0.85,0.29230235695415047,0.29243971485211534,0.4152579281937342,7.890363501350495e-05,0.0002699384152618431,6.86789489824315e-05,7.890363501350495e-05,6.86789489824315e-05,1.901288168168718e-18
0.01,0.9,0.95,0.95,0.36499366186497334,0.3650994985170395,0.2699068396179871,3.284747925382302e-05,8.999465658111811e-05,5.291832603292967e-05,3.284747925382302e-05,5.291832603292967e-05,9.141650721388595e-18
0.01,0.9,0.95,0.99,0.3963199744106841,0.3964063651026027,0.20727366048671314,7.133817515475264e-06,1.8000146286048376e-05,4.31953459591581e-05,7.133817515475264e-06,4.31953459591581e-05,2.140184021454686e-18
0.01,0.9,0.99,0.85,0.29255046719685585,0.29257796597143687,0.41487156683170734,1.5797004478511266e-05,5.399753632210587e-05,1.3749387290451996e-05,1.5797004478511266e-05,1.3749387290451996e-05,1.386240157509683e-18
0.01,0.9,0.99,0.95,0.3654087020339885,0.3654298952777524,0.26916140268825917,6.577278531508027e-06,1.7999786252753884e-05,1.0596621881902763e-05,6.577278531508027e-06,1.0596621881902763e-05,1.338510804228887e-18
0.01,0.9,0.99,0.99,0.39681634858610315,0.3968336494960314,0.20635000191786546,1.4285411763978224e-06,3.6000058502827803e-06,8.650454963981459e-06,1.4285411763978224e-06,8.650454963981459e-06,1.1544854363903149e-17
0.01,0.95,0.85,0.85,0.32482588911058413,0.32520090057784967,0.34997321031156625,0.0002775140374318397,0.0008543470417081272,0.00018750573363265102,0.0002775140374318397,0.00018750573363265102,1.9995420713428765e-18
0.01,0.95,0.85,0.95,0.4052890268614483,0.4055260689397888,0.18918490419876288,0.00011548084613058861,0.00028493454911639334,0.00011852103917028863,0.00011548084613058861,0.00011852103917028863,2.257240285860858e-18
0.01,0.95,0.85,0.99,0.4399364784661747,0.44009351476543995,0.11997000676838532,2.5075979724291616e-05,5.6999091804612944e-05,7.851814963257682e-05,2.5075979724291616e-05,7.851814963257682e-05,2.787086190207066e-18
0.01,0.95,0.95,0.85,0.32562720009524676,0.3257525484698218,0.34862025143493147,9.278011987331538e-05,0.0002849274257377055,6.267418728739801e-05,9.278011987331538e-05,6.267418728739801e-05,2.3833561624232363e-18
0.01,0.95,0.95,0.95,0.40659777357202004,0.40667705434041335,0.18672517208756667,3.862383127724173e-05,9.499272693484228e-05,3.9640384196626295e-05,3.862383127724173e-05,3.9640384196626295e-05,7.397724405010923e-18
0.01,0.95,0.95,0.99,0.4414913111445472,0.44154384626618215,0.11696484258927065,8.388290352726039e-06,1.8999899071580272e-05,2.626756081738712e-05,8.388290352726039e-06,2.626756081738712e-05,8.84512694626951e-18
0.01,0.95,0.99,0.85,0.32594792566758113,0.32597302293317193,0.3480790513992469,1.857808542407292e-05,5.699709665592359e-05,1.2548632795267426e-05,1.857808542407292e-05,1.2548632795267426e-05,2.0018195626838275e-18
0.01,0.95,0.99,0.95,0.4071220025387225,0.40713788006461255,0.18574011739666496,7.735199602400505e-06,1.899970906550252e-05,7.938762944908367e-06,7.735199602400505e-06,7.938762944908367e-06,2.6035343402395345e-18
0.01,0.95,0.99,0.99,0.4421142876549788,0.4421248098811142,0.11576090246390702,1.6800325080494364e-06,3.799995962493109e-06,5.2611130676135665e-06,1.6800325080494364e-06,5.2611130676135665e-06,3.0813456753549354e-18
0.01,0.99,0.85,0.85,0.35261160296524807,0.35294681704920916,0.29444157998554277,0.00031391699581071196,0.0008902628080609427,0.00016760704198041107,0.00031391699581071196,0.00016760704198041107,2.8585411098465213e-18
0.01,0.99,0.85,0.95,0.4399364784661745,0.44009351476543984,0.11997000676838565,0.00013062573917854386,0.00029691954537156505,7.851814963257683e-05,0.00013062573917854386,7.851814963257683e-05,2.5123300190539022e-18
0.01,0.99,0.85,0.99,0.47753671751565435,0.4775937328468518,0.04486954963749379,2.836431419289166e-05,5.939713775404472e-05,2.8507665598607256e-05,2.836431419289166e-05,2.8507665598607256e-05,1.8543291368853263e-18
0.01,0.99,0.95,0.85,0.35357763527812175,0.35368970606591427,0.292732658655964,0.00010498358587045277,0.0002969180609737191,5.6035393896152953e-05,0.00010498358587045277,5.6035393896152953e-05,7.30393473446227e-18
0.01,0.99,0.95,0.95,0.4414913111445473,0.4415438462661824,0.1169648425892702,4.370369268285514e-05,9.899105957386837e-05,2.6267560817387116e-05,4.370369268285514e-05,2.6267560817387116e-05,8.918328325352314e-18
0.01,0.99,0.95,0.99,0.47937628612551475,0.4793953650169498,0.04122834885753546,9.491498007287934e-06,1.979968196591765e-05,9.539445717434318e-06,9.491498007287934e-06,9.539445717434318e-06,1.4880280168468167e-18
0.01,0.99,0.99,0.85,0.35396440181078764,0.3539868426203309,0.29204875556888144,2.1024325164398158e-05,5.9396721977812765e-05,1.1220404771573836e-05,2.1024325164398158e-05,1.1220404771573836e-05,2.607288305619903e-18
0.01,0.99,0.99,0.95,0.44211428765497884,0.44212480988111436,0.1157609024639068,8.753704780717711e-06,1.97996423665661e-05,5.261113067613569e-06,8.753704780717711e-06,5.261113067613569e-06,1.5225135944713126e-18
0.01,0.99,0.99,0.99,0.4801135579647631,0.480117379657277,0.03976906237795985,1.9012435817789217e-06,3.959987278506431e-06,1.9108462568217923e-06,1.9012435817789217e-06,1.9108462568217923e-06,7.873458371151329e-19
0.03,0.9,0.85,0.85,0.2898231258267164,0.2910471357212446,0.41912973845203905,0.0007028261429277405,0.002425017468578254,0.0006120049472640904,0.0007028261429277405,0.0006120049472640904,1.5540397816748205e-18
0.03,0.9,0.85,0.95,0.36085662135336893,0.36179753611466126,0.2773458425319698,0.0002921377558353384,0.0008095673975433652,0.00047045738064612836,0.0002921377558353384,0.00047045738064612836,2.7772583389518923e-18
0.03,0.9,0.85,0.99,0.39137659498814015,0.39214391126841314,0.21647949374344666,6.34076550404468e-05,0.00016201187258621898,0.00038365814013631606,6.34076550404468e-05,0.00038365814013631606,2.0802737696492137e-18
