pair_probability,signal_efficiency,idler_efficiency,one_count_herald_probability,conditional_vacuum_probability,conditional_single_photon_probability,conditional_multiphoton_probability,conditional_hidden_fault_probability,two_pair_masked_fraction_of_valid_heralds,two_pair_hidden_fault_probability,decoder_visible_record_count,cutoff_tail_probability
0.01,0.85,0.85,0.008440301915065888,0.14961765787164835,0.84821500549603,0.0021673366323216284,0.15178499450396998,0.0029910067500000005,0.0022283000287500005,1.0,0.0
0.01,0.85,0.9,0.008927846765684602,0.14974507015178148,0.8488100023367411,0.0014449275114774341,0.1511899976632589,0.001996002,0.00148702149,1.0,0.0
0.01,0.85,0.95,0.009414412058455439,0.14987251753459732,0.849405000557712,0.0007224819076907786,0.1505949994422881,0.000999000250000001,0.0007442551862500008,1.0,0.0
0.01,0.85,0.99,0.009802960494069209,0.1499745007012768,0.8498810000214616,0.0001444992772615654,0.15011899997853836,0.00019996000200000018,0.00014897020149000012,1.0,0.0
0.01,0.9,0.85,0.008440301915065888,0.09973014179861138,0.8978405879671257,0.0024292702342628768,0.10215941203287425,0.0029910067500000005,0.0024526255350000004,1.0,0.0
0.01,0.9,0.9,0.008927846765684602,0.09982006301440223,0.8985602612124545,0.001619675773143289,0.10143973878754552,0.001996002,0.00163672164,1.0,0.0
0.01,0.9,0.95,0.009414412058455439,0.09991001575180015,0.8992800652765534,0.0008099189716464567,0.1007199347234466,0.000999000250000001,0.0008191802050000009,1.0,0.0
0.01,0.9,0.99,0.009802960494069209,0.09998200063001436,0.8998560026102121,0.0001619967597734165,0.10014399738978778,0.0001999600020000002,0.00016396720164000019,1.0,0.0
0.01,0.95,0.85,0.008440301915065888,0.04985759085817983,0.9474363310972209,0.0027060780445992347,0.05256366890277907,0.0029910067500000005,0.00270686110875,1.0,0.0
0.01,0.95,0.9,0.008927846765684602,0.04990504037927538,0.9482905915241677,0.0018043680965569482,0.05170940847583233,0.001996002,0.00180638181,1.0,0.0
0.01,0.95,0.95,0.009414412058455439,0.049952510094284454,0.9491451478623948,0.0009023420433207479,0.050854852137605204,0.0009990002500000013,0.000904095226250001,1.0,0.0
0.01,0.95,0.99,0.009802960494069209,0.04999050040375433,0.9498290059138991,0.0001804936823465734,0.0501709940861009,0.0001999600020000002,0.00018096380181000017,1.0,0.0
0.01,0.99,0.85,0.008440301915065888,0.00997032160740491,0.9870914514324435,0.0029382269601515385,0.012908548567556449,0.0029910067500000005,0.0029317848163500004,1.0,0.0
0.01,0.99,0.9,0.008927846765684602,0.00998020960319405,0.9880605117288346,0.001959278667971367,0.011939488271165418,0.0019960019999999998,0.0019564811604,1.0,0.0
0.01,0.99,0.95,0.009414412058455439,0.009990102400774265,0.9890300279274793,0.0009798696717464618,0.010969972072520727,0.000999000250000001,0.000979220045050001,1.0,0.0
0.01,0.99,0.99,0.009802960494069209,0.009998020096030203,0.9898059691169477,0.00019601078702197224,0.010194030883052175,0.0001999600020000002,0.00019600079396040019,1.0,0.0
0.03,0.85,0.85,0.02495912671814728,0.1488539224737712,0.8446450623552553,0.006501015170973601,0.15535493764474478,0.008919182250000001,0.006644790776249999,1.0,0.0
0.03,0.85,0.9,0.026347849969165265,0.14923563184844815,0.8464300248469341,0.004334343304617752,0.15356997515306592,0.005964054,0.00444322023,1.0,0.0
0.03,0.85,0.95,0.02772812197765853,0.14961765787164832,0.84821500549603,0.00216733663232163,0.15178499450396996,0.002991006750000002,0.0022283000287500014,1.0,0.0
0.03,0.85,0.99,0.028826293181542534,0.14992350631197301,0.8496430001969651,0.0004334934910618462,0.15035699980303485,0.0005996400540000007,0.00044673184023000045,1.0,0.0
0.03,0.9,0.85,0.02495912671814728,0.09919127706312318,0.8935253046272968,0.007283418309580013,0.1064746953727032,0.008919182250000003,0.007313729445000003,1.0,0.0
0.03,0.9,0.9,0.026347849969165265,0.0994605673889823,0.8956823547392128,0.00485707787180485,0.10431764526078716,0.005964054,0.00489052428,1.0,0.0
